a|bitta
compose|tuzmoq
composition|tarkibi
comprehensive|keng qamrovli
computer|kompyuter
concentrate|konsentratsiyalash
concentration|diqqat
concept|tushuncha
concern|tashvish
concerned|tashvish
concert|konsert
conclude|xulosa qilish
conclusion|xulosa
concrete|beton
condition|holat
conduct|o’tkazish
conference|konferensiya
confidence|ishonch
confident|o’ziga ishongan
confirm|tasdiqlang
conflict|ziddiyat
confront|duch kelmoq
confusion|chalkashlik
Congress|Kongress
congressional|kongressga tegishli
connect|ulanmoq
connection|ulanish
consciousness|ong
consensus|Kelishuv
consequence|oqibat
conservative|konservativ
consider|ko’rib chiqing
considerable|sezilarli
consideration|hisobga olish
consist|iborat
consistent|izchil
consonant|undosh
constant|doimiy
constantly|doimiy
constitute|tashkil qiladi
constitutional|konstitutsiyaviy
construct|qurish
construction|qurilish
consultant|maslahatchi
consume|iste’mol
consumer|iste’molchi
consumption|iste’mol
contact|aloqa
contain|o’z ichiga oladi
container|idish
contemporary|zamondosh
content|mazmuni
contest|musobaqa
context|kontekst
continent|qit’a
continue|davom eting
continued|davom etdi
contract|shartnoma
contrast|kontrast
contribute|hissa qo’shish
contribution|hissa
control|boshqaruv
controversial|bahsli
controversy|munozara
convention|konventsiya
conventional|an’anaviy
conversation|suhbat
convert|aylantirish
conviction|hukm
convince|ishontirish
cook|oshpaz
cookie|cookie
cooking|pishirish
cool|salqin
cooperation|hamkorlik
cop|politsiya
cope|engish
copy|nusxa ko’chirish
core|yadro
corn|makkajo’xori
corner|burchak
corporate|korporativ
corporation|korporatsiya
correct|to’g’ri
correspondent|muxbir
cost|xarajat
cotton|paxta
couch|divan
could|mumkin
council|kengash
counselor|maslahatchi
count|hisoblash
counter|hisoblagich
country|mamlakat
county|okrug
couple|juft
courage|jasorat
course|kurs
court|sud
cousin|amakivachcha
cover|qopqoq
coverage|qamrov
cow|sigir
crack|yorilish
craft|hunarmandchilik
crash|halokat
crazy|aqldan ozgan
cream|krem
crease|burma
create|yaratmoq
creation|yaratish
creative|ijodiy
creature|mavjudot
credit|kredit
crew|ekipaj
crime|jinoyat
criminal|jinoyatchi
crisis|inqiroz
criteria|mezonlar
critic|tanqidchi
critical|tanqidiy
criticism|tanqid
criticize|tanqid qilmoq
crop|hosil
cross|kesib o’tish
crowd|to’da
crucial|hal qiluvchi ahamiyatga ega
cry|hayqiriq
cultural|madaniy
culture|madaniyat
cup|chashka
curious|qiziquvchan
current|joriy
currently|hozirgi paytda
curriculum|o’quv dasturi
custom|Custom
customer|mijoz
cut|kesish
cycle|tsikl
dad|dada
daily|har kuni
damage|zarar
dance|raqsga tushish
danger|Xavf
dangerous|xavfli
dare|jur’at
dark|qorong’i
darkness|zulmat
data|ma’lumotlar
date|sana
daughter|qizim
day|kun
dead|o’lik
deal|bitim
dealer|dilerlik
dear|azizim
death|o’lim
debate|muzokara
debt|qarz
decade|o’n yil
decide|qaror
decimal|kasr
decision|qaror
deck|pastki
declare|DECLARE
decline|pasayish
decrease|pasayish
deep|chuqur
deeply|chuqur
deer|kiyik
defeat|mag’lubiyat
defend|himoya qilish
defendant|himoyachi
defense|mudofaa
defensive|mudofaa
deficit|kamomad
define|aniqlash
definitely|albatta
definition|ta’rifi
degree|gradus
delay|kechikish
deliver|yetkazib berish
delivery|yetkazib berish
demand|talab
democracy|demokratiya
Democrat|demokrat
democratic|demokratik
demonstrate|namoyish
demonstration|namoyish
deny|rad etish
department|Bo’lim
depend|bog’liq
dependent|qaram
depending|qarab
depict|tasvirlash
depression|depressiya
depth|chuqurlik
deputy|o’rinbosari
derive|hosil qilish
describe|tasvirlab bering
description|tavsifi
desert|cho’l
deserve|loyiq
design|dizayn
designer|dizayner
desire|istak
desk|stol
desperate|umidsiz
despite|qaramay
destroy|yo’q qilish
destruction|halokat
detail|batafsil
detailed|batafsil
detect|aniqlash
determine|aniqlash
develop|rivojlantirish
developing|rivojlanmoqda
development|rivojlantirish
device|qurilma
devote|bag’ishlash
dialogue|dialog
dictionary|lug’at
did|qildi
die|o’lish
diet|parhez
differ|farq qiladi
difference|farq
different|boshqacha
differently|boshqacha
difficult|qiyin
difficulty|qiyinchilik
dig|qazish
digital|raqamli
dimension|o’lchash
dining|ovqatlanish
dinner|kechki ovqat
direct|bevosita
direction|yo’nalishi
directly|bevosita
director|direktor
dirt|axloqsizlik
dirty|iflos
disability|nogironlik
disagree|rozi emas
disappear|yo’qoladi
disaster|falokat
discipline|intizom
discourse|nutq
discover|kashf qilish
discovery|kashfiyot
discrimination|diskriminatsiya
discuss|muhokama qilish
discussion|munozara
disease|kasallik
dish|taom
dismiss|ishdan bo’shatish
disorder|tartibsizlik
display|ko’rsatish
dispute|bahs
distance|masofa
distant|uzoq
distinct|alohida
distinction|farqlash
distinguish|farqlash
distribute|tarqatish
distribution|tarqatish
district|tuman
diverse|xilma-xil
diversity|xilma-xilligi
divide|bo’lmoq
division|bo’linish
divorce|ajralish
DNA|DNK
do|qilish
doctor|shifokor
document|hujjat
does|qilsa
dog|it
dollar|dollar
domestic|maishiy
dominant|hukmron
dominate|hukmronlik qiladi
don’t|yo’q
done|qilingan
door|eshik
double|ikki hissa
doubt|shubha
down|pastga
downtown|shahar markazida
dozen|o’nlab
draft|qoralama
drag|sudramoq
drama|drama
dramatic|dramatik
dramatically|keskin
draw|chizish
drawing|chizish
dream|orzu
dress|kiyinish
drink|ichish
drive|haydash
driver|haydovchi
drop|tushirish
drug|dori
dry|quruq
duck|o’rdak
due|muddati
during|davomida
dust|chang
duty|burch
each|har bir
eager|ishtiyoqli
ear|quloq
early|barvaqt
earn|ishlab topmoq
earnings|daromad
earth|yer
ease|sukunat
easily|osongina
east|sharq
eastern|sharqiy
easy|oson
eat|yemoq
economic|iqtisodiy
economics|Iqtisodiyot
economist|iqtisodchi
economy|iqtisodiyot
edge|chet
edition|nashr
editor|muharrir
educate|tarbiyalash
education|ta’lim
educational|tarbiyaviy
educator|o’qituvchi
effect|ta’sir
effective|samarali
effectively|samarali
efficiency|samaradorlik
efficient|samarali
effort|harakat qilish
egg|tuxum
eight|sakkiz
either|yoki
elderly|keksa
elect|saylash
election|saylov
electric|elektr
electricity|elektr energiyasi
electronic|elektron
element|element
elementary|boshlang’ich
eliminate|yo’q qilish
elite|elita
else|boshqa
elsewhere|boshqa joyda
e-mail|elektron pochta
embrace|quchoqlash
emerge|paydo bo’ladi
emergency|favqulodda
emission|emissiya
emotion|hissiyot
emotional|hissiy
emphasis|ta’kidlash
emphasize|ta’kidlash
employ|ishga
employee|xodim
employer|ish beruvchi
employment|bandlik
empty|bo’sh
enable|yoqish
encounter|uchrashish
encourage|rag’batlantirish
end|oxiri
enemy|dushman
energy|energiya
enforcement|ijro etish
engage|shug’ullanish
engine|dvigatel
engineer|muhandis
engineering|muhandislik
English|Ingliz
enhance|oshirish
enjoy|rohatlaning
enormous|ulkan
enough|yetarli
ensure|ta’minlash
enter|kiriting
enterprise|korxona
entertainment|o’yin-kulgi
entire|butun
entirely|butunlay
entrance|Kirish
entry|kirish
environment|muhit
environmental|ekologik
episode|epizod
equal|teng
equally|teng
equate|tenglashtirmoq
equipment|uskunalar
era|davr
error|xato
escape|qochish
especially|ayniqsa
essay|insho
essential|muhim
essentially|asosan
establish|o’rnatish
establishment|tashkil etish
estate|mulk
estimate|taxmin qilish
etc|va boshqalar
ethics|axloq
ethnic|etnik
European|yevropalik
evaluate|baho bering
evaluation|baholash
even|hatto
evening|oqshom
event|voqea
eventually|oxir-oqibat
ever|har doim
every|har
everybody|hamma
everyday|har kuni
everyone|hamma
everything|hamma narsa
everywhere|hamma joyda
evidence|dalil
evolution|evolyutsiya
evolve|rivojlanadi
exact|aniq
exactly|aynan
examination|imtihon
examine|Imtihon
example|misol
exceed|oshib ketish
excellent|ajoyib
except|bundan mustasno
exception|istisno
exchange|almashish
excite|hayajonlantirish
exciting|hayajonli
executive|ijrochi
exercise|mashq qilish
exhibit|ko’rgazma
exhibition|ko’rgazma
exist|mavjud
existence|mavjudlik
existing|mavjud
expand|kengaytirish
expansion|kengaytirish
expect|kutish
expectation|kutish
expense|xarajat
expensive|qimmat
experience|tajriba
experiment|tajriba
expert|mutaxassis
explain|tushuntiring
explanation|tushuntirish
explode|portlash
explore|kashf qiling
explosion|portlash
expose|fosh qilish
exposure|chalinish xavfi
express|ifodalash
expression|ifoda
extend|uzaytirish
extension|kengaytma
extensive|keng qamrovli
extent|darajada
external|tashqi
extra|qo’shimcha
extraordinary|favqulodda
extreme|ekstremal
extremely|nihoyatda
eye|ko’z
fabric|mato
face|yuz
facility|qulaylik
fact|haqiqat
factor|omil
factory|zavod
faculty|fakultet
fade|so’nish
fail|muvaffaqiyatsiz
failure|muvaffaqiyatsizlik
fair|adolatli
fairly|odilona
faith|imon
fall|tushish
familiar|tanish
family|oila
famous|mashhur
fan|muxlis
fantasy|fantaziya
far|uzoq
farm|ferma
farmer|dehqon
fashion|moda
fast|tez
fat|semiz
fate|taqdir
father|ota
fault|ayb
favor|yaxshilik
favorite|sevimli
fear|qo’rquv
feature|xususiyat
federal|federal
fee|haq
feed|ozuqa
feel|his qilish
feeling|tuyg’u
feet|oyoq
fell|tushdi
fellow|o’rtoq
felt|his qildi
female|ayol
fence|panjara
few|oz
fewer|kamroq
fiber|tola
fiction|fantastika
field|maydon
fifteen|o’n besh
fifth|beshinchi
fifty|ellik
fig|Anjir
fight|kurash
fighter|jangchi
fighting|jang qilish
figure|raqam
file|fayl
fill|to’ldirish
film|film
final|final
finally|nihoyat
finance|Moliya
financial|moliyaviy
find|toping
finding|topish
fine|yaxshi
finger|barmoq
finish|tugatish
fire|olov
firm|mustahkam
first|birinchi
fish|baliq
fishing|baliq ovlash
fit|mos
fitness|fitnes
five|besh
fix|tuzatish
flag|bayroq
flame|olov
flat|tekis
flavor|lazzat
flee|qochmoq
flesh|go’sht
flight|parvoz
float|suzmoq
floor|qavat
flow|oqim
flower|gul
fly|pashsha
focus|diqqat
folk|xalq
follow|ergash
following|quyidagi
food|ovqat
foot|oyoq
football|futbol
for|uchun
force|kuch
foreign|xorijiy
forest|o’rmon
forever|abadiy
forget|unut
form|shakl
formal|rasmiy
formation|shakllanishi
former|oldingi
formula|formula
forth|oldinga
fortune|boylik
forward|oldinga
found|topildi
foundation|asos
founder|asoschisi
four|to’rtta
fourth|to’rtinchi
fraction|kasr
frame|ramka
framework|ramka
free|ozod
freedom|erkinlik
freeze|muzlash
French|frantsuz
frequency|chastota
frequent|tez-tez
frequently|tez-tez
fresh|yangi
friend|do’st
friendly|do’stona
friendship|do’stlik
from|dan
front|old
fruit|meva
frustration|umidsizlik
fuel|yoqilg’i
full|to’la
fully|to’liq
fun|qiziqarli
function|funktsiyasi
fund|fond
fundamental|asosiy
funding|moliyalashtirish
funeral|dafn marosimi
funny|kulgili
furniture|mebel
furthermore|bundan tashqari
future|kelajak
gain|daromad
galaxy|galaktika
gallery|galereya
game|o’yin
gang|to’da
gap|bo’shliq
garage|garaj
garden|bog’
garlic|sarimsoq
gas|gaz
gate|Darvoza
gather|yig’ish
gave|berdi
gay|gey
gaze|qarash
gear|tishli
gender|jins
gene|gen
general|umumiy
generally|umuman
generate|hosil qilish
generation|avlod
genetic|genetik
gentle|muloyim
gentleman|janob
gently|muloyimlik bilan
German|nemis
gesture|imo-ishora
get|olish
ghost|sharpa
giant|gigant
gift|sovg’a
gifted|iqtidorli
girl|qiz
girlfriend|qiz do’sti
give|berish
given|berilgan
glad|xursand
glance|qarash
glass|stakan
global|global
glove|qo’lqop
go|ket
goal|maqsad
God|Xudo
gold|oltin
golden|oltin
golf|golf
gone|ketdi
good|yaxshi
got|oldi
govern|boshqarmoq
government|hukumat
governor|gubernator
grab|tutmoq
grade|daraja
gradually|asta-sekin
graduate|bitiruvchi
grain|don
grand|katta
grandfather|bobo
grandmother|buvi
grant|grant
grass|o’t
grave|qabr
gray|kulrang
great|ajoyib
greatest|eng buyuk
green|yashil
grew|o’sdi
grocery|oziq-ovqat
ground|zamin
group|guruh
grow|o’sadi
growing|o’sib borayotgan
growth|o’sish
guarantee|kafolat
guard|qo’riqchi
guess|taxmin qiling
guest|mehmon
guide|hidoyat
guideline|ko’rsatma
guilty|aybdor
gun|qurol
guy|yigit
habit|odat
habitat|yashash joyi
had|bor edi
hair|Soch
half|yarmi
hall|zal
hand|qo’l
handful|hovuch
handle|tutqich
hang|osmoq
happen|sodir bo’lmoq
happy|baxtli
hard|qiyin
hardly|zo’rg’a
has|ega
hat|shlyapa
hate|nafrat
have|bor
he|u
head|bosh
headline|sarlavha
headquarters|shtab-kvartirasi
health|salomatlik
healthy|sog’lom
hear|eshitish
heard|eshitildi
hearing|eshitish
heart|yurak
heat|issiqlik
heaven|jannat
heavily|og’ir
heavy|og’ir
heel|tovon
height|balandligi
held|o’tkazildi
helicopter|vertolyot
hell|jahannam
hello|Salom
help|Yordam
helpful|foydali
her|uni
here|Bu yerga
heritage|meros
hero|qahramon
herself|o’zi
hey|Hey
hi|salom
hide|yashirmoq
high|yuqori
highlight|ta’kidlash
highly|juda
highway|avtomagistral
hill|tepalik
him|uni
himself|o’zi
hip|kestirib
hire|yollash
his|uning
historian|tarixchi
historic|tarixiy
historical|tarixiy
history|tarix
hit|urish
hold|tutmoq
hole|teshik
holiday|bayram
holy|muqaddas
home|uy
homeless|uysiz
honest|halol
honey|asal
honor|hurmat
hope|umid
horizon|gorizont
horror|dahshat
horse|ot
hospital|kasalxona
host|mezbon
hot|issiq
hotel|mehmonxona
hour|soat
house|uy
household|uy xo’jaligi
housing|uy-joy
how|Qanaqasiga
however|ammo
huge|ulkan
human|inson
humor|hazil
hundred|yuz
hungry|och
hunt|ov
hunter|ovchi
hunting|ov qilish
hurry|shoshiling
hurt|og’riydi
husband|er
hypothesis|gipoteza
I|I
ice|muz
idea|fikr
ideal|ideal
identification|identifikatsiya
identify|aniqlash
identity|shaxs
ie|ya’ni
if|agar
ignore|e’tibor bermaslik
ill|kasal
illegal|noqonuniy
illness|kasallik
illustrate|tasvirlab bering
image|tasvir
imagination|tasavvur
imagine|tasavvur qiling
immediate|darhol
immediately|darhol
immigrant|muhojir
immigration|immigratsiya
impact|ta’sir
implement|amalga oshirish
implication|imo-ishora
imply|nazarda tutadi
importance|ahamiyati
important|muhim
impose|yuklamoq
impossible|imkonsiz
impress|taassurot qoldirish
impression|taassurot
impressive|ta’sirli
improve|yaxshilash
improvement|takomillashtirish
in|ichida
incentive|rag’batlantirish
inch|dyuym
incident|voqea
include|o’z ichiga oladi
including|shu jumladan
income|daromad
incorporate|kiritish
increase|kattalashtirish; ko’paytirish
increased|ortdi
increasing|ortib boradi
increasingly|borgan sari
incredible|aql bovar qilmaydigan
indeed|haqiqatdan ham
independence|mustaqillik
independent|mustaqil
index|indeks
Indian|hind
indicate|ko’rsatish
indication|ko’rsatma
individual|individual
industrial|sanoat
industry|sanoat
infant|chaqaloq
infection|infektsiya
inflation|inflyatsiya
influence|ta’sir qilish
inform|xabar bering
information|ma `lumot
ingredient|ingredient
initial|boshlang’ich
initially|dastlab
initiative|tashabbus
injury|jarohat
inner|ichki
innocent|begunoh
inquiry|so’rov
insect|hasharot
inside|ichida
insight|tushuncha
insist|turib olish
inspire|ilhomlantirmoq
install|o’rnatish
instance|misol
instant|bir zumda
instead|o’rniga
institution|muassasa
institutional|institutsional
instruction|ko’rsatma
instructor|instruktor
instrument|asbob
insurance|sug’urta
intellectual|intellektual
intelligence|razvedka
intend|niyat qilmoq
intense|shiddatli
intensity|intensivlik
intention|niyat
interaction|o’zaro ta’sir
interest|qiziqish
interested|manfaatdor
interesting|qiziq
internal|ichki
international|xalqaro
Internet|Internet
interpret|talqin qilish
interpretation|talqin qilish
intervention|aralashuv
interview|intervyu
into|ichiga
introduce|tanishtirish
introduction|kirish
invasion|bosqin
invent|ixtiro qilish
invest|sarmoya kiriting
investigate|tergov qilish
investigation|tergov
investigator|tergovchi
investment|sarmoya
investor|investor
invite|taklif qiling
involve|jalb qilish
involved|jalb qilingan
involvement|ishtirok etish
Iraqi|Iroq
Irish|irland
iron|temir
is|hisoblanadi
Islamic|islomiy
island|orol
Israeli|isroillik
issue|nashr
it|bu
Italian|italyancha
item|element
its|uning
itself|o’zi
jacket|kurtka
jail|qamoqxona
Japanese|yapon
jet|reaktiv
Jew|yahudiy
Jewish|yahudiy
job|ish
join|qo’shilish
joint|qo’shma
joke|hazil
journal|jurnal
journalist|jurnalist
journey|sayohat
joy|quvonch
judge|hakam
judgment|hukm
juice|sharbat
jump|sakramoq
junior|kichik
jury|hakamlar hay’ati
just|shunchaki
justice|adolat
justify|oqlash
keep|saqlamoq
kept|saqlanadi
key|kalit
kick|tepmoq
kid|bola
kill|o’ldirish
killer|qotil
killing|o’ldirish
kind|mehribon
king|shoh
kiss|o’pish
kitchen|oshxona
knee|tizza
knew|bilar edi
knife|pichoq
knock|taqillatish
know|bilish
knowledge|bilim
lab|laboratoriya
label|yorliq
labor|mehnat
laboratory|laboratoriya
lack|etishmasligi
lady|xonim
lake|ko’l
land|yer
landscape|manzara
language|til
lap|tizza
large|katta
largely|asosan
last|oxirgi
late|kech
later|keyinroq
Latin|lotin
latter|ikkinchisi
laugh|kulmoq
launch|ishga tushirish
law|qonun
lawn|maysazor
lawsuit|da’vo
lawyer|yurist
lay|yotish
layer|qatlam
lead|qo’rg’oshin
leader|yetakchi
leadership|etakchilik
leading|yetakchi
leaf|barg
league|liga
lean|ozg’in
learn|o’rganing
learning|o’rganish
least|kamida
leather|teri
leave|tark eting
led|LED
left|chap
leg|oyoq
legacy|meros
legal|qonuniy
legend|afsona
legislation|qonunchilik
legitimate|qonuniy
lemon|limon
length|uzunligi
less|Kamroq
lesson|dars
let|ruxsat bering
letter|xat
level|Daraja
liberal|liberal
library|kutubxona
license|litsenziya
lie|yolg’on
life|hayot
lifestyle|turmush tarzi
lifetime|hayot paytida
lift|ko’tarmoq
light|yorug’lik
like|kabi
likely|ehtimol
limit|chegara
limitation|cheklash
limited|cheklangan
line|chiziq
link|havola
lip|lab
liquid|suyuqlik
list|ro’yxati
listen|tingla
literally|tom ma’noda
literary|adabiy
literature|adabiyot
little|oz
live|yashash
living|yashash
load|yuk
loan|qarz
local|mahalliy
locate|toping
location|Manzil
lock|qulf
log|jurnal
lone|yolg’iz
long|uzoq
long-term|Uzoq muddat
look|qarang
